Date,City,State,Victims,Notes
8/11/2022,BUTLER COUNTY,MD,1,Car stolen by suspect with juvenile girl inside. Suspect later arrested during traffic stop in another county. 
8/12/2022,AURORA,CO,1,"Car stolen with 1 year old inside. Car later found and child unharmed, but suspect is still on the loose. "
8/12/2022,SHADY COVE,OR,1,"Car stolen when mom left it running. She tried to stop thief and hung onto door. Carjacked eventually stopped, but dragged mom. Baby safe and suspect caught. "
8/15/2022,RENO,NV,2,"Car stolen from pharmacy while mom was inside with 2 children in it. Car located, children unharmed. Suspect arrested. "
8/16/2022,TUCSON,AZ,1,Car stolen from parking lot of gas station market soon as mom got of car. Child and car eventually found. Suspect still on the loose. 
8/17/2022,GRAND RAPIDS,MI,1,Car stolen with baby in back. Car and infant within 30 mins. Suspect still on the loose. 
8/18/2022,CLEVELAND,OH,1,Car stolen while mom checked apt for job she got. Child and car returned; suspect arrested. 
8/18/2022,BALTIMORE,MD,1,Car stolen after mom left it running with child inside while she went to a store. Car and child recovered. Suspects on the loose. 
8/19/2022,LANCASTER,OH,1,Car stolen from supermarket with child inside. Car and child found 1 mile away from where stolen. Suspect still on the loose. 
8/19/2022,LAKE WORTH,TX,4,Car stolen when mother working as delivery driver got out for a brief second with her 4 children inside. Suspect ditched car and ran on foot. 
8/21/2022,ST. JOHN,IL,2,Car stolen by thief with 2 children in it. Suspect led police on chase and then crashed the car. Children unharmed. Suspect arrested. 
8/23/2022,ST. PETERSBURG,FL,1,"Car stolen with child inside. Then suspect told child to get out, and he backed up and hit the child. Suspect arrested. "
8/25/2022,GERMANTOWN,PA,1,Car stolen while running with child inside while mom was inside gas station. Car recovered & child found safely. Suspect on the loose. 
8/25/2022,ODESSA,TX,1,Car stolen while running with child inside while dad was busy in a parking lot. Car recovered & child found safely. Suspect on the loose. 
8/27/2022,LAKEWOOD,OH,1,Car stolen with teenage girl inside. Car and teen later found unharmed. 
8/28/2022,ARLINGTON,VA,1,Car stolen with child inside. Suspect fled to DC and left child and car in DC. 
8/30/2022,GREENVILLE,SC,1,"Car stolen while dad inside gas station. Suspect later crashed the car on foot, but child unharmed. Suspect caught and arrested later. "
9/2/2022,GREENVILLE,SC,1,Car stolen while mom inside market. Car and child found unharmed later. Suspect still on the loose. 
9/2/2022,BILLINGS,MT,1,Car stolen with child sleeping in back. Child unharmed and car found. Suspect on the loose. 
9/2/2022,MEMPHIS,TN,3,Car stolen during a car crash when a father got out of his car to assist in an incident and suspect jumped in father's car. Suspect dropped children off eventually and then took off. Suspect on the loose. 
9/12/2022,PHILADELPHIA,PA,1,Mom was unloading car when someone stole the car. Baby returned unharmed. Suspect on the loose. 
9/13/2022,RAEFORD,NC,2,Two suspects jumped in the back seat of a car with 2 children at a gas station and stole it. Suspects on the loose. Children okay. 
9/14/2022,TAMPA,FL,1,"Car almost stolen when women was putting child in her car in a parking lot. Suspect snatched the keys, and climbed in the car and begin to drive off. But others came to aid the woman and roughed up the suspect. Suspect arrested. "
9/14/2022,RAEFORD,NC,2,Car stolen while parents were pumping gas. Suspects jumped in and sped off with 2 kids in the back. Suspects on the loose. 
9/18/2022,PORTLAND,OR,1,"Car stolen while running and while girl sleep in back. Car found, suspect on the loose; child found in a park unharmed. "
9/20/2022,INDIANAPOLIS,IN,1,Truck stolen with 2 year old in back. No other info as of now.
9/20/2022,HOUSTON,TX,1,"Boy found dead in car that was stolen after his father was shot too. After stealing the car, the suspect left the 2 year old in it and is now on the loose. Baby died because of negligence of suspect who also shot and killed the baby's father. "
9/21/2022,DURHAM,NC,1,Car stolen while parents left it running. Suspects stole car with girl inside. Suspects on the loose. Child found but car not found. 
9/28/2022,PROVIDENCE,RI,2,Car stolen with two children inside while parent left vehicle unattended. Both children returned to parent. Suspect on the loose & car not found. 
10/2/2022,WASHINGTON,DC,1,Car stolen by two juveniles because mom left it running with child in back while getting groceries. Child unharmed and later found. Suspects on the loose. 
10/4/2022,KENTWOOD,MI,1,Car stolen in Michigan with child inside. Suspect on the loose. Child unharmed. 
10/8/2022,HARTFORD,CT,1,Car stolen while baby's parents in the store. Baby mother's acquaintance left in car with child stole the car. Child found unharmed and car returned. Suspect still on the loose. 
10/9/2022,PHILADELPHIA,PA,1,Car stolen by two men while child was left in back seat by herself while dad inside gas station. Two men apprehended and child found unharmed later. 
10/10/2022,TAMPA,FL,2,Truck stolen with 2 children inside. Suspect caught and apprehended. Children were unharmed. 
10/16/2022,HOUSTON,TX,2,"Mother's ex jumped in car and beat up mom and current boyfriend, then stole car with 2 children inside. Children dropped off unharmed. "
10/17/2022,WASHINGTON,DC,1,"Car stolen with baby inside by 14 year old juvenile, who then crashed the car. Baby unharmed and juvenile reprimanded. "
10/18/2022,IRVINGTON,NJ,1,Car stolen with infant inside. Infant unharmed. 
10/23/2022,NEW ORLEANS,LA,1,Car stolen with baby inside. Car and baby later located unharmed. Suspect on the loose. 
10/25/2022,LAS VEGAS,NV,2,"Suspect stole van with 2 children inside, crashed the car and then got apprehended by police. Children were unharmed. "
10/29/2022,WOODS CROSS,UT,1,Drunken suspect stole brother's car with 4 year old in it after being asked to leave a party. Suspect later caught. Child unharmed. Suspect damaged car though in police chase and crash. 
10/30/2022,ZION,IL,2,Suspect stole car left running with keys inside and two boys in it. Then later dropped the boys off at a gas station unharmed. 
10/31/2022,WASHINGTON,DC,1,Suspect stole car while mother left sleeping child inside to go get food. Child unharmed and suspect later apprehended. 
11/2/2022,LITTLE ROCK,AR,3,Suspect stole car with 3 children inside. Suspect later apprehended. Children okay. 
11/3/2022,DALLAS COUNTY,TX,1,"Men stole a car with a baby car seat inside, crashed it, and tried to flee on foot. Both were caught and baby was unharmed."
11/5/2022,YOUNGSTOWN,OH,3,Man stole car after dad left his 3 children inside while shopping at gas station convenient store. 
11/7/2022,WICHITA,KS,2,Man stole a car with 2 children inside from gas station. Suspect later apprehended. 
11/11/2022,VISALIA,CA,1,Mom left child in car to go pick up food when stolen. Suspect caught later. 
11/12/2022,CHICAGO,IL,1,Car stolen with baby inside when dad was exiting car. Potential suspects apprehended. 
11/12/2022,ALBANY,NY,2,Car stolen with two children inside after parent let it running unattended. Suspect arrested. 
11/15/2022,GREENWICH,CT,1,Child left in car while running and parent went for food. Car and suspect still missing. 
11/16/2022,WASHINGTON,DC,1,Car stolen with child inside. Car later found and child unharmed. 
11/20/2022,WICHITA,KS,1,Man stole car with girl inside while dad went into liquor store and drove it into Oklahoma. Girl found safe; suspect still on the loose. 
11/20/2022,HOUSTON,TX,1,"Man stole car after dad left 1 yr old inside with door unlocked. Car found unharmed, but car still missing. "
11/21/2022,YORK COUNTY,PA,3,Man stole car out of parking lot with children inside. Car found and thief arrested. 
11/23/2022,STILLWATER,MN,1,Man stole car with infant inside. Car and child not found. 
11/28/2022,PHILADELPHIA,PA,1,"Car stolen with sleeping child inside while father inside restaurant. Car and child later found, but suspect still on the loose. "
11/28/2022,BRONX,NY,1,"Child inside car while running. Person hopped inside and sped off. Car and child later found, but suspect still on the loose. "
11/29/2022,PROVIDENCE,RI,1,Child insider car while running while mom went into store. Car stolen by thief but thief and car later found. Thief arrested; child safe. 
11/30/2022,AUSTIN,TX,1,Child inside car at Buffalo Wild Wings and car stolen by black man. Child dropped off 3 miles away unharmed. Suspect still on the loose. 
11/30/2022,MINNEAPOLIS,MN,4,Father chased down car with his 4 kids inside once stolen. Suspect caught and children okay. 
12/1/2022,HAWTHORNE,CA,1,Car stolen from in front of grocery store with baby inside. Car and baby recovered unharmed. Suspect on the loose. 
12/7/2022,CHICAGO,IL,1,Car stolen while mother was paying for parking ticket. Car and baby later located unharmed; suspect on loose. 
12/8/2022,FORT WAYNE,IN,2,Car stolen with children inside while parents not paying attention. 
12/8/2022,CLEVELAND,OH,1,"Car stolen with child inside. Car not recovered, but child dropped off a block away unharmed. "
12/10/2022,SACRAMENTO,CA,2,Car stolen with two children inside while mom was pumping gas at gas station. Car and children recovered safely; suspect on the loose. 
12/10/2022,HARRISBURG,PA,1,Car stolen and left running with infant inside. Car and infant later recovered; suspect still on the loose. 
12/13/2022,ROSEVILLE,CA,2,Car stolen with two children inside of car. Suspect arrested. 
12/19/2022,COLUMBUS,OH,2,Car stolen with twin boys inside while mom went into restaurant to get pizza. Suspect still on the loose; boys & car not recovered. 
12/25/2022,MOUNTAIN VIEW,CA,2,"Car stolen with two children inside on xmas day while mom inside getting food in a store. Driver begin to drive off, then let kids out and apprehended. "
12/27/2022,MINNEAPOLIS,MN,1,Car stolen with infant inside. Infant suffered from hypothermia and eventually rescued in stolen car. Suspect still on the loose. 
12/30/2022,RALEIGH,NC,1,Car stolen with infant inside. Suspect arrested and car returned with child unharmed. 
2/3/2022,WASHINGTON,DC,1,"Stolen, abandoned nearby shortly after "
4/20/2022,CHICAGO,IL,2,2 adults forced out of car that was stolen with 2 kids inside
6/9/2022,COLUMBIA,SC,4,15 year old suspect took off when stopped in stolen car with 4 juveniles in it; one seriously injured when the car crashed 
6/9/2022,POCATELLO,ID,1,Suspect spotted in stolen car by owner; suspect flees when police stops him with his infant and wife in the car 
7/16/2022,LINTHICUM,MD,1,Mom was putting her child in car seat and woman got in car and drove away; dragged mom then stopped; drunk suspect arrested 
8/26/2022,HAMPTON,NH,1,"Infant and mom were in car when suspect jumped in and stole it, leading police on a chase. Mom got control of car and then suspect fled to be later arrested. "
9/13/2022,CHEEKTOWAGA,NY,1,"Suspect accosted mother as she was loading the car with child inside. Drove the car a little bit, kicked both child and mom out, and then proceeded to continue with stealing car. Suspect later apprehended. "
10/16/2022,HOUSTON,TX,2,"Mother's ex jumped in car and beat up mom and current boyfriend, then stole car with 2 children inside. Children dropped off unharmed. "
1/8/2022,CHICAGO,IL,1,"Stolen, abandoned nearby shortly after "
2/5/2022,CHICAGO,IL,1,"Stolen, abandoned nearby shortly after "
2/3/2022,SAN MATEO,CA,1,"Stolen, abandoned nearby shortly after "
2/3/2022,WASHINGTON,DC,1,No details available
4/23/2022,LAKE RONKONKOMA,NY,1,"Stolen, suspect arrested after "
6/3/2022,GASTONIA,NC,1,No details available
1/8/2021,CLEVELAND,TX,1,"Nail salon, toddler abandoned with the vehicle"
1/11/2021,WASHINGTON DC,DC,2,Location unclear
1/16/2021,BEAVERTON,OR,1,"Meat market, thief returned, lectured mom for leaving child alone "
1/22/2021,NASHVILLE,TN,1,"Gas station, found 3 hours later about half a mile away"
1/25/2021,HOUSTON,TX,1,"Baby abandoned by car thief in car seat along side of the road, discovered by Amazon driver"
1/30/2021,HAZEL DELL,WA,2,Thief abandoned vehicle with childsren still strapped into car seats in the back seat
2/6/2021,SAN FRANCISCO,CA,2,"Residence, father making DoorDash deliveries, AMBER Alert, children found 4 hours later abandoned in van"
2/6/2021,MINNEAPOLIS,MN,1,"Church, AMBER Alert, found 2.5 hours later"
2/6/2021,WICHITA,KS,1,"Restaurant, family getting takeout, tried to escape, tangled in seat belt and dragged to death as thief sped off"
2/7/2021,ST. PAUL,MN,1,"Walgreens, thief left girl in car a few blocks away"
2/9/2021,COLUMBUS,OH,1,"Daycare, AMBER Alert"
2/9/2021,CAYCE,SC,1,"Hotel circle drive, found 3 hours later, 11 miles away "
2/12/2021,MADISON,WI,1,"Restaurant, thief abandoned child in car nearby just minutes later"
2/15/2021,HONOLULU,HI,1,"Gas station, found along road shortly after stolen"
2/16/2021,ST. PAUL,MN,2,"Apartment complex, thief abandoned children outside in cold"
2/16/2021,VALRICO,FL,1,"Driveway of residence, found 2 hours later"
2/17/2021,CLEVELAND,OH,2,"Parked on street, thief left children along nearby roadway"
2/24/2021,RENTON,WA,1,"Grocery store, AMBER Alert"
2/26/2021,SOUTH FULTON,GA,2,"Gas station, found shortly after nearby"
2/28/2021,CHICAGO,IL,2,"Parked on street, kids called mother from tablet, found shortly after"
3/3/2021,TANGIPAHOA PARISH,LA,2,Kidnapped when their mother saw them sitting alone in a vehicle
3/6/2021,PHILADELPHIA,PA,1,"Thief abandoned boy nearby, then crashed the car"
3/8/2021,MORGAN HILL,CA,3,"Drug store, car stolen, children kicked out nearby, thief crashed vehicle"
3/8/2021,ALEXANDRIA,VA,1,"Apartment complex, child and car abandoned a block away, man who left child chased thief until he flashed a gun"
3/5/2021,MESA,AZ,1,"Convenience store, found 1.5 hours later"
3/16/2021,COLORADO SPRINGS,CO,1,"Business, suspect jumped out of vehicle that was still in gear, vehicle crashed into parked car"
3/17/2021,DETROIT,MI,1,"Gas station, found shortly after nearby"
3/18/2021,OMAHA,NE,1,"Daycare, child found walking around nearby "
3/18/2021,STONE MOUNTAIN,GA,1,"Residence during Door Dash delivery, found on door step "
3/23/2021,FORT SMITH,AR,1,Convenience store
3/26/2021,ALTON,IL,1,"Residence, found 4 hours later"
3/26/2021,VENTURA COUNTY,CA,1,"Residence, mother ran in home with key fob, girl found in car 11 minutes later"
3/27/2021,DOLTON,IL,1,"Restaurant, found about 4 hours larter"
3/31/2021,INDIANAPOLIS,IN,1,"Gas station, AMBER Alert issued, boy found shortly after"
4/3/2021,GREENSBORO,NC,1,"Gas station, child found in someone's garden 7 hours later"
4/24/2021,LOUISVILLE,KY,1,"Gas station, child found later "
4/26/2021,WOONSOCKET,RI,1,"Store, found on nearby street later in day"
4/26/2021,BUFFALO,NY,1,No details available
4/29/2021,MEMPHIS,TN,1,"Gas station, "
5/2/2021,WOLCOTT,CT,2,"Gas station, 11 yr old jumped out of the vehicle before thief drove away, 5 yr old found later"
5/3/2021,SEBRING,FL,2,"Subway, found later unharmed"
5/4/2021,LOUISVILLE,KY,1,"Gas station, girl found shortly after"
5/5/2021,GARDEN CITY,KS,1,"Residence, found 3 hours later"
5/11/2021,WATERBURY,CT,1,"Gas station, police used OnStar info to locate vehicle "
5/13/2021,ROSELLE,NJ,1,"Residence, stolen by 16-year-old, baby found unharmed on sidwalk nearby"
5/14/2021,IRVING,TX,1,"CVS, AMBER ALERT issued"
5/13/2021,PHILADELPHIA,PA,1,Car stolen & abandoned with child inside nearby
5/17/2021,ASHBORO,NC,1,"Store, used mother's cell to track the SUV"
5/19/2021,MANCHESTER,CT,1,"Gas station, girl sleeping, woke up and man she was in back seat, he got out and fled, girl ran back to gas station"
5/21/2021,GREENSBORO,NC,1,"Gas station, car and baby found the next morning in Winston-Salem"
6/3/2021,NEW ORLEANS,LA,2,"Gas station, kids jumped out of car as carjacker stole vehicle, child's foot run over"
6/14/2021,UKIAH,CA,1,"Parked along curb, tried to hand baby to random person, drove off with baby, found a mile away"
6/16/2021,GLYNN COUNTY,GA,1,"Gas station, police pursuit ended in child being recovered nearby"
6/16/2021,SILVER SPRINGS,MD,1,"Gas station, mom vavuuming car, two teens stole car, abandoned nearby in car"
6/17/2021,GREENEVILLE COUNTY,SC,1,"Residence, found shortly after"
6/28/2021,NEWARK,NJ,1,"Car stolen, dropped off 5 minutes later unharmed"
7/2/2021,BROOKLYN,NY,1,"Parked on street in commercial area, found an hour later"
7/5/2021,GLEN BURNIE,MD,5,"Grocery store, van abandoned a mile away"
7/10/2021,PAWTUCKET,RI,1,"Store, AMBER ALERT issued, cancelled soon after, child found"
7/13/2021,ATLANTA,GA,1,"Mother standing outside car, found nearby shortly after"
7/16/2021,AZTEC,NM,1,"Gas station, found nearby"
7/20/2021,WEST HARTFORD,CT,1,"Vehicle running with keys, stolen and child dropped off "
7/29/2021,HOUSTON,TX,1,Abandoned by thief inside car
7/30/2021,SAVANNAH,GA,2,Abandoned by thief 10 minutes later with twins in car
8/13/2021,COLORADO SPRINGS,CO,1,"Man drove to fire station, said he found the child alone in a car"
9/6/2021,FORT LAUDERDALE,FL,1,"Gas station, abandoned in car neary"
9/8/2021,PHILADELPHIA,PA,1,"Store, car running, found safe in car shortly after"
,CLEVELAND HEIGHTS,OH,3,"Driveway of home, abandoned nearby"
9/19/2021,AUBURN,WA,1,"Mom ran into gas station to use restroom, came out baby and car gone, found soon after"
9/22/2021,NEWCASTLE,OK,1,"Casino, found shortly after"
9/22/2021,CLEVELAND,OH,1,"Gas station, abandoned by thiefs nearby"
9/28/2021,KANSAS CITY,MO,1,No details available
10/3/2021,GRANDY,NC,5,"Woman stopped to help after car crash, another woman stole vehicle"
10/4/2021,MANCHESTER,CT,1,"School parking lot, found shortly after"
10/6/2021,NASHVILLE,TN,1,"Grocery store, AMBER ALERT issued "
10/12/2021,ROCHESTER,NY,1,"Car thief crashed, baby severely injured"
10/23/2021,LAUREL,MD,2,"Gas station, abandoned in car a mile away"
10/30/2021,WASHINGTON,DC,1,"Chipotle, boy found nearby "
11/1/2021,CHEVIOT,OH,1,"Residence, officers used OnStar to find the car and child"
11/10/2021,CLARKSTON,GA,1,"Apartment complex, AMBER ALERT issued, found at a random home nearby"
11/11/2021,AUBURN,CA,1,"Daycare, crashed into woods, baby not seriously hurt"
11/11/2021,PITTSBURG,CA,1,"Restaurant, 90 min later found"
11/11/2021,CONCORD,CA,1,Found within 30 minutes a mile away
11/14/2021,PITTSBURGH,PA,1,"Convenience store, let child out before driving away"
11/20/2021,BROOKSVILLE,FL,1,"Gas station, let out shortly after"
11/22/2021,WATERBURY,CT,1,"Parking lot, let out of car shortly after"
11/26/2021,ZACHARY,LA,1,"UPS store, car abandoned with child inside "
11/29/2021,MINNEAPOLIS,MN,1,"Store, found 10 min later"
12/7/2021,PHILADELPHIA,PA,1,Missing
12/7/2021,NEWARK,NJ,2,"Bank, found 2 blocks away"
12/9/2021,DES MOINES,IA,1,"Gas station, let child out nearby"
12/9/2021,"WASHINGTON, DC",DC,1,"UNK, car and child located half mile away"
12/13/2021,TULSA,OK,1,"Dollar General, abandoned nearby with child alone inside"
12/14/2021,BROOKSVILLE,FL,1,"Speedway, boy got out before they drove away"
12/24/2021,SAN ANTONIO,TX,1,"Running car, found several miles away"
4/24/2021,DETROIT,MI,1,"Suspect with gun ordered parents out of the vehicle, child not left alone in vehicle"
7/14/2021,EUNICE,LA,1,"Suspect with gun ordered mother out of vehicle, took off with baby in back seat"
1/11/2020,POCATELLO,ID,2,No details available
1/12/2020,HUMBLE,TX,1,No details available
1/18/2020,JACKSONVILLE,NC,1,No details available
1/20/2020,VIDALIA,LA,1,No details available
1/22/2020,VANDALIA,OH,1,No details available
1/25/2020,DETROIT,MI,1,No details available
1/28/2020,SULTAN,WA,1,No details available
1/29/2020,GRAND RAPIDS,MI,1,No details available
1/29/2020,MERRIAM,KS,1,No details available
2/3/2020,MEMPHIS,TN,2,No details available
2/4/2020,DISTRICT OF COLUMBIA,DC,1,No details available
2/4/2020,INDIANAPOLIS,IN,1,No details available
2/5/2020,SAN ANTONIO,TX,1,No details available
2/5/2020,ATWATER,CA,1,No details available
2/7/2020,DALLAS,TX,1,No details available
2/13/2020,DALLAS,TX,1,No details available
2/15/2020,JACKSONVILLE,FL,3,No details available
2/16/2020,HOUSTON,TX,1,No details available
2/17/2020,BOSTON,MA,1,No details available
2/18/2020,BROOKLYN,NY,1,No details available
2/26/2020,SAN ANTONIO,TX,1,No details available
3/1/2020,PHOENIX,AZ,1,No details available
3/1/2020,FARMERS BRANCH,TX,2,No details available
3/10/2020,LOUISVILLE,KY,1,No details available
3/11/2020,COLORADO SPRINGS,CO,2,No details available
3/21/2020,GARLAND,TX,1,No details available
3/21/2020,COLUMBIA,MO,1,No details available
3/24/2020,ONEIDA,TN,2,No details available
3/28/2020,PERRIS,CA,1,No details available
4/2/2020,DALLAS,TX,2,No details available
4/2/2020,GRANDVIEW,IL,1,No details available
4/9/2020,GASTONIA,NC,1,No details available
4/12/2020,PASADENA,MD,1,No details available
4/19/2020,NEW HAVEN,CT,1,No details available
4/24/2020,CENTER POINT,AL,1,No details available
4/24/2020,OAK CLIFF,TX,2,No details available
4/27/2020,CRESTVIEW,FL,1,No details available
5/3/2020,DURHAM,NC,1,No details available
5/7/2020,PEORIA,IL,1,No details available
5/14/2020,HOUSTON,TX,1,No details available
5/17/2020,SAN ANTONIO,TX,1,No details available
5/28/2020,PHILADELPHIA,PA,1,No details available
7/2/2020,PHILADELPHIA,PA,2,No details available
7/13/2020,FALLS,NY,1,No details available
7/21/2020,PHOENIX,AZ,1,No details available
8/2/2020,DAYTON,OH,1,No details available
8/2/2020,CHAMBLEE,GA,1,No details available
8/9/2020,TUSCALOOSA,AL,1,No details available
8/20/2020,HOUSTON,TX,1,No details available
9/1/2020,CHICAGO,IL,1,No details available
9/15/2020,MIAMISBURG,OH,2,No details available
9/20/2020,LAGRANGE,GA,1,No details available
9/20/2020,BARTOW,FL,3,No details available
9/23/2020,DALLAS,TX,1,No details available
9/30/2020,DISTRICT OF COLUMBIA,DC,1,No details available
10/11/2020,DESERT HOT SPRINGS,CA,1,No details available
10/13/2020,MINNEAPOLIS,MN,1,No details available
10/21/2020,CLARKSVILLE,TN,1,No details available
10/21/2020,VERDE VILLAGE,AZ,1,No details available
10/22/2020,KANSAS CITY,KS,1,No details available
10/24/2020,PROVIDENCE,RI,1,No details available
10/26/2020,CHICAGO,IL,1,No details available
10/26/2020,MERCED,CA,1,No details available
11/4/2020,OGDEN,UT,1,No details available
11/4/2020,SPRINGFIELD,MO,1,No details available
11/9/2020,HARTFORD,CT,2,No details available
11/16/2020,BRIDGEVIEW,IL,1,No details available
12/6/2020,NORTH CHARLESTON,SC,1,No details available
12/10/2020,MUSKOGEE,OK,1,No details available
12/10/2021,DISTRICT OF COLUMBIA,DC,1,No details available
12/30/2020,MINNEAPOLIS,MN,1,No details available
1/11/2019,CLANTON,AL,1,No details available
5/3/2019,MONTGOMERY,AL,2,No details available
3/24/2019,PHOENIX,AZ,1,No details available
6/9/2019,PHOENIX,AZ,1,No details available
11/4/2019,PHOENIX,AZ,2,No details available
12/13/2019,RIMROCK,AZ,2,No details available
1/18/2019,FRESNO,CA,2,No details available
2/2/2019,MARINA DEL REY,CA,1,No details available
2/24/2019,COVELO,CA,1,No details available
5/1/2019,STOCKTON,CA,2,No details available
5/3/2019,STOCKTON,CA,1,No details available
5/3/2019,VICTORVILLE,CA,1,No details available
6/13/2019,ANAHEIM,CA,2,No details available
10/2/2019,EMERYVILLE,CA,1,No details available
11/24/2019,MODESTO,CA,2,No details available
12/19/2019,MODESTO,CA,1,No details available
12/30/2019,ROCKLIN,CA,2,No details available
10/2/2019,DENVER,CO,2,No details available
11/6/2019,NEW HAVEN,CT,2,No details available
11/19/2019,HARTFORD,CT,2,No details available
1/26/2019,PANAMA CITY,FL,1,No details available
3/3/2019,JACKSONVILLE,FL,1,No details available
3/19/2019,OCALA,FL,1,No details available
4/20/2019,WEST PALM BEACH,FL,1,No details available
5/23/2019,MIAMI,FL,1,No details available
5/27/2019,JACKSONVILLE,FL,1,No details available
7/8/2019,LARGO,FL,1,No details available
11/1/2019,WEST PALM BEACH,FL,2,No details available
2/10/2019,ATHENS,GA,1,No details available
2/24/2019,COLLEGE PARK,GA,1,No details available
3/18/2019,FAIRBURN,GA,1,No details available
7/19/2019,COLUMBUS,GA,1,No details available
8/5/2019,SOUTH FULTON,GA,1,No details available
8/26/2019,LITHONIA,GA,1,No details available
9/16/2019,ROSSVILLE,GA,1,No details available
9/29/2019,UNION CITY,GA,1,No details available
10/23/2019,GARDEN CITY,GA,1,No details available
11/8/2019,BARNWELL,GA,1,No details available
8/21/2019,COUNCIL BLUFFS,IA,1,No details available
12/4/2019,DES MOINES,IA,1,No details available
1/1/2019,MELROSE PARK,IL,1,No details available
3/28/2019,CHICAGO,IL,1,No details available
4/21/2019,CHICAGO,IL,1,No details available
7/21/2019,WOOD RIVER,IL,1,No details available
8/11/2019,ALORTON,IL,2,No details available
10/18/2019,CHICAGO,IL,2,No details available
12/1/2019,PEORIA,IL,1,No details available
1/7/2019,SOUTH BEND,IN,1,No details available
2/19/2019,SEYMOUR,IN,1,No details available
2/24/2019,TERRE HAUTE,IN,2,No details available
3/13/2019,INDIANAPOLIS,IN,1,No details available
9/20/2019,INDIANAPOLIS,IN,1,No details available
11/26/2019,GREENWOOD,IN,1,No details available
6/19/2019,WICHITA,KS,3,No details available
6/23/2019,RICHMOND,KY,2,No details available
8/15/2019,COVINGTON,KY,1,No details available
12/3/2019,FRANKLIN,KY,1,No details available
12/16/2019,SHEPHERDSVILLE,KY,1,No details available
4/15/2019,GENTILLY,LA,2,No details available
12/26/2019,NEW ORLEANDS,LA,1,No details available
2/26/2019,SEAT PLEASANT,MD,1,No details available
10/19/2019,BALTIMORE,MD,1,No details available
11/9/2019,LIVERMORE,ME,3,No details available
11/18/2019,ROBBINSDALE,MN,1,No details available
12/31/2019,MINNEAPOLIS,MN,1,No details available
7/20/2019,WEST PLAINS,MO,1,No details available
9/14/2019,KANSAS CITY,MO,1,No details available
1/5/2019,JACKSON,MS,1,No details available
9/10/2019,JACKSON,MS,1,No details available
12/14/2019,BILLINGS,MT,1,No details available
2/4/2019,CHARLOTTE,NC,1,No details available
2/15/2019,LUMBERTON,NC,1,No details available
3/9/2019,CLAYTON,NC,2,No details available
6/15/2019,CHARLOTTE,NC,1,No details available
7/5/2019,SOUTHERN PINES,NC,1,No details available
7/17/2019,WENDELL,NC,1,No details available
8/11/2019,HIGH POINT,NC,1,No details available
10/14/2019,FAYETTEVILLE,NC,1,No details available
11/9/2019,ROWLAND,NC,1,No details available
12/9/2019,HICKORY,NC,1,No details available
2/27/2019,GRAND ISLAND,NE,2,No details available
6/20/2019,NEWARK,NJ,1,No details available
12/16/2019,BURLINGTON TOWNSHIP,NJ,1,No details available
3/14/2019,LAS CRUCES,NM,1,No details available
1/22/2019,RENO,NV,1,No details available
3/22/2019,BUFFALO,NY,1,No details available
7/15/2019,BUFFALO,NY,2,No details available
8/5/2019,BROOKLYN,NY,1,No details available
9/27/2019,DEER PARK,NY,1,No details available
10/14/2019,BROOKLYN,NY,1,No details available
1/14/2019,CHILLICOTHE,OH,1,No details available
2/6/2019,CLEVELAND,OH,1,No details available
3/6/2019,CLEVELAND,OH,1,No details available
4/25/2019,SANDUSKY,OH,1,No details available
4/26/2019,MIDDLETOWN,OH,2,No details available
4/27/2019,CANTON,OH,1,No details available
5/8/2019,DAYTON,OH,1,No details available
6/3/2019,COLUMBUS,OH,1,No details available
9/20/2019,CLEVELAND,OH,1,No details available
10/3/2019,CINCINNATI,OH,1,No details available
10/5/2019,FINDLAY,OH,1,No details available
12/16/2019,COLUMBUS,OH,1,No details available
1/11/2019,TULSA,OK,2,No details available
7/10/2019,OKLAHOMA CITY,OK,2,No details available
8/14/2019,EUGENE,OR,1,No details available
10/14/2019,PORTLAND,OR,1,No details available
11/26/2019,SALEM,OR,1,No details available
3/6/2019,PHILADELPHIA,PA,1,No details available
3/10/2019,PHILADELPHIA,PA,1,No details available
11/15/2019,PLYMOUTH,PA,1,No details available
11/17/2019,CHESTER,PA,2,No details available
5/18/2019,COLUMBIA,SC,1,No details available
10/14/2019,COLUMBIA,SC,1,No details available
12/27/2019,FLORENCE,SC,1,No details available
10/21/2019,SIOUX FALLS,SD,1,No details available
1/29/2019,MEMPHIS,TN,1,No details available
4/15/2019,MEMPHIS,TN,1,No details available
5/13/2019,MEMPHIS,TN,1,No details available
9/6/2019,MEMPHIS,TN,2,No details available
11/11/2019,MEMPHIS,TN,1,No details available
1/23/2019,FORT WORTH,TX,1,No details available
2/24/2019,HOUSTON,TX,2,No details available
3/4/2019,AUSTIN,TX,1,No details available
3/26/2019,CARTHAGE,TX,1,No details available
4/30/2019,SAN ANTONIO,TX,2,No details available
5/5/2019,AUSTIN,TX,1,No details available
,HOUSTON,TX,2,No details available
6/9/2019,SPRING,TX,1,No details available
6/18/2019,DALLAS,TX,1,No details available
7/15/2019,MCALLEN,TX,1,No details available
9/25/2019,RIO GRANDE VALLEY,TX,1,No details available
10/29/2019,FORT WORTH,TX,1,No details available
12/6/2019,HOUSTON,TX,1,No details available
10/15/2019,TOOELE,UT,1,No details available
